DBID,X,Y,PX,PY,u_loc,u_scale,u_mean,u_sd,dpl_m,z_m
2958,86706.0899362494,3127028.18847089,20213.8437684618,3148632.82889757,1.43229,0.103676,4.210843,0.43751,5437.65905555142,377.936188
2959,91693.2778140924,3128111.66616479,21008.5039385584,3151078.54142072,1.622761,0.102673,5.093862,0.525141,8009.23338499484,433.681793
2969,86237.8865932105,3139853.90968053,23938.5192161353,3160096.20120419,1.387581,0.113381,4.030968,0.458347,17490.9619983462,611.988464
3481,103310.003469392,3169784.68701573,34365.1960664743,3192186.21289393,-1.834894,1.18288,0.324265,0.614255,51232.3970654644,1154.591797
3483,100207.564460272,3177039.95238283,36201.208495235,3197836.87811997,-1.185353,1.239718,0.64996,1.115461,57173.8580924676,1786.572876
3484,100875.743093755,3183080.94381586,38040.4167138735,3203497.37897591,-0.869721,1.264277,0.932491,1.751368,63125.6609127579,2119.955811
3485,111909.494707632,3189681.16649028,41033.8030120772,3212710.0747063,-1.184085,1.251842,0.660115,1.145059,72812.4624566608,1772.903687
3486,104212.849319612,3199011.75499882,43041.029937625,3218887.68397043,-0.776025,1.282567,1.073703,2.429774,79307.9852340011,1957.562866
3487,107577.077257098,3202546.87510569,44401.2308511296,3223073.95192918,-0.794155,1.272113,1.002812,1.811273,83709.6878531589,2129.154541
3489,104672.034976536,3207875.80447649,45689.9570453559,3227040.24332107,-0.229473,1.349118,2.020039,5.224587,87880.0934220596,2559.763428
3490,109065.29359287,3217962.48377361,49073.8765806003,3237454.87676582,-0.181587,1.366442,2.110976,4.39414,98830.6870684991,3312.354736
3491,103395.0732734,3213363.17386369,47180.7154531281,3231628.32593058,-0.392754,1.33266,1.635156,3.619733,92704.2889676391,2747.924316
3494,112639.978522745,3227602.39490914,52248.3274160726,3247224.83184172,-0.875279,1.275792,0.949851,1.931085,109103.425763318,4272.989746
3507,110050.100230674,3235629.76585686,54360.2011747379,3253724.51094136,-1.540397,1.204162,0.445909,0.870484,115937.592806256,4706.046875
3518,97966.8864387095,3189031.92284964,39511.5944767954,3208025.19855712,-1.003283,1.244459,0.798984,1.502057,67886.4921605589,1962.306763
3519,97727.3870419726,3196400.18177365,41654.2012847791,3214619.46425669,-0.81927,1.278908,0.979971,1.76249,74820.1134402475,2137.721924
3523,95997.3999393366,3171199.24137276,34082.631660732,3191316.56907418,-1.498854,1.207943,0.475087,0.953632,50317.9994404601,1360.888062
3525,62940.754996448,3181993.31959415,34098.3029525061,3191364.80035088,-2.695374,1.109693,0.124362,0.183823,50368.7128059367,1325.937622
3526,48957.6854546779,3177705.977466,31503.0203908021,3183377.34193641,-1.618668,1.213036,0.415099,0.760072,41970.2020154431,2104.772705
3529,75800.4010195425,3187263.59982291,36875.186373846,3199911.16874139,-1.249509,1.238785,0.62843,1.228157,59354.8963229839,1466.453613
3530,77519.8589925072,3193894.3434013,38988.1066432636,3206414.06866994,-1.318959,1.221239,0.570858,1.082066,66192.4499458562,1517.591553
3531,71528.6899394733,3209357.67051521,42960.5587212488,3218640.01903257,-1.605282,1.179196,0.405427,0.685989,79047.5749075751,1370.690308
3532,80060.2879180747,3214905.09822431,45405.6019314034,3226165.08826815,-0.54045,1.311582,1.38131,2.761782,86959.9009435597,2041.384521
3533,81885.1936624631,3225276.17247028,48627.8471695324,3236082.13939028,-0.341399,1.335977,1.733941,4.058671,97387.3055743195,2736.997803
3534,84320.8010939914,3235306.35769184,51808.2244589267,3245870.33421585,-0.479964,1.333425,1.538524,3.752552,107679.222676895,3989.123779
3535,71960.866354794,3244722.8329508,53395.3883589132,3250755.12242164,-0.761202,1.275801,1.050774,1.998544,112815.392948685,4622.540039
3536,78118.3432328595,3247570.52427292,54820.2905606462,3255140.52047,-0.826354,1.279581,0.991613,1.962798,117426.473334781,5138.638184
3537,81847.8109499019,3244940.54276882,54403.4908666814,3253857.74291358,-0.765823,1.296898,1.085022,2.210745,116077.68119211,4815.337402
3538,83709.1883662705,3199155.74339677,41125.4216684409,3212992.04793669,-1.239403,1.228403,0.611545,1.058323,73108.9466566607,1641.69812
3539,88449.1011195728,3200105.70974449,41857.2311651343,3215244.32597701,-0.984926,1.271403,0.840149,1.669573,75477.1319345407,1722.067261
3540,90793.3489940651,3202588.79625018,42810.8477317415,3218179.25598483,-0.545864,1.310859,1.344278,2.534815,78563.0999685512,1929.89856
3541,95850.7506188592,3207159.94755282,44637.2142740646,3223800.23422499,-0.425411,1.348492,1.60269,3.265846,84473.3462513397,2223.97998
3542,83933.05642702,3220412.20207916,47393.9156307279,3232284.4886073,-0.806683,1.278229,1.005058,1.852644,93394.2192351672,2285.032471
3543,96186.4762990671,3216281.9799409,47350.1712781243,3232149.85733345,-0.271739,1.330159,1.870324,4.368128,93252.6595365105,2828.901611
3545,90212.6960420201,3232166.42489352,51448.047265906,3244761.82279843,-0.130373,1.362224,2.223386,4.971402,106513.664796335,3793.064209
3569,59650.3001796473,3196682.23815706,38101.0573288146,3203684.0115982,-2.364317,1.129803,0.17835,0.279516,63321.8980649048,1121.846436
3570,53764.2031488681,3202927.89464604,39374.5374651997,3207603.38044887,-1.60336,1.20291,0.416231,0.708395,67442.9663542423,1274.997925
3571,49115.9457378396,3210402.14475532,41127.2953726513,3212997.81460529,-1.44175,1.22292,0.505528,1.063165,73115.0100908553,1533.178345
3572,67495.8977664319,3223552.10509665,46747.1009919167,3230293.79784183,-0.503195,1.32357,1.436791,2.969798,91301.0830951323,2435.977539
3573,57609.2248360869,3241275.67498259,51011.8342344456,3243419.2971328,-0.279216,1.349056,1.936436,4.512239,105102.049773858,4046.048096
3574,68208.2090461322,3231691.13342996,49207.1210776407,3237864.96116078,-0.335815,1.333322,1.780584,4.220447,99261.8753185494,2980.662354
3575,64896.7074977357,3241302.78848458,51715.6953638315,3245585.55894317,-0.200887,1.348524,2.071975,4.730082,107379.79223527,4067.99707
3576,48771.1790859147,3215600.66797316,42622.1807275114,3217598.59865191,-1.151716,1.241055,0.692007,1.39443,77952.5607177515,1670.864868
3577,49778.9535855779,3224078.33473384,45209.9383768697,3225562.89776754,-0.547948,1.30582,1.345584,2.726789,86326.7203803692,2156.404785
3578,52058.7626601851,3242124.17212339,50731.1793129522,3242555.53010129,-0.448307,1.314825,1.527748,3.206747,104193.831369686,4299.133301
3579,48102.8878981294,3238462.28081996,49277.2240351592,3238080.71587904,-0.183774,1.341737,2.065627,4.384475,99488.7332545033,4082.566406
3581,59222.7218161576,3190649.90592659,36287.3692673143,3198102.05370975,-2.353296,1.142135,0.182604,0.296858,57452.6802079103,1142.367798
3582,87850.8617770288,3177971.07094136,35294.897264622,3195047.53896596,-1.272943,1.237238,0.60502,1.186925,54240.9733414332,1708.612549
3583,83315.5022956653,3192845.10024313,39233.1765048269,3207168.31614833,-2.144811,1.171262,0.229753,0.374642,66985.5126771113,1817.036865
3584,89461.6773712532,3192811.95274997,39810.3421955284,3208944.64949283,-1.416432,1.227256,0.517619,0.907651,68853.2600865017,1972.573608
3585,92059.1632353866,3185944.71168222,38040.1485124478,3203496.5535368,-0.910671,1.272052,0.927532,2.126662,63124.7929947129,2252.698242
