x,z
31784.3096955462,-1225.79302978516
31973.5020151626,-1162.30325317383
32162.6943347789,-1088.63851420085
32351.8866543953,-998.664138793945
32541.0789740116,-932.89057413737
32730.271293628,-875.497151692708
32919.4636132443,-810.502573649089
33108.6559328607,-761.300776163737
33297.848252477,-694.225102742513
33487.0405720933,-699.335006713867
33676.2328917097,-735.831181844076
33865.425211326,-780.54562886556
34054.6175309424,-829.910074869792
34243.8098505587,-801.088434855143
34433.0021701751,-746.055842081706
34622.1944897914,-681.770711263021
34811.3868094078,-692.953155517578
35000.5791290241,-771.700729370117
35189.7714486405,-843.546249389648
35378.9637682568,-912.74169921875
35568.1560878732,-983.945882161458
35757.3484074895,-1008.94228108724
35946.5407271059,-916.590759277344
36135.7330467222,-813.033538818359
36324.9253663385,-672.145156860352
36514.1176859549,-544.838419596354
36703.3100055712,-467.064275105794
36892.5023251876,-566.418487548828
37081.6946448039,-661.46836344401
37270.8869644203,-754.275410970052
37460.0792840366,-826.271530151367
37649.271603653,-894.081476847331
37838.4639232693,-969.659474690755
38027.6562428857,-1036.83953857422
38216.848562502,-1078.51981608073
38406.0408821184,-1061.81410725911
38595.2332017347,-960.136093139648
38784.425521351,-827.006159464518
38973.6178409674,-715.870183308919
39162.8101605837,-628.944524129232
39352.0024802001,-602.613825480143
39541.1947998164,-579.097933451335
39730.3871194328,-555.199915568034
39919.5794390491,-501.44199625651
40108.7717586655,-474.917516072591
40297.9640782818,-462.352472941081
40487.1563978982,-457.195610046387
40676.3487175145,-487.344571431478
40865.5410371309,-517.443168640137
41054.7333567472,-533.624244689941
41243.9256763635,-554.587097167969
41433.1179959799,-615.913551330566
41622.3103155962,-623.55628712972
41811.5026352126,-625.766082763672
42000.6949548289,-654.987419128418
42189.8872744453,-661.012868245443
42379.0795940616,-689.296447753906
42568.271913678,-731.164840698242
42757.4642332943,-725.087356567383
42946.6565529107,-710.718017578125
43135.848872527,-698.536794026693
43325.0411921434,-728.550582885742
43514.2335117597,-814.004633585612
43703.4258313761,-916.652308146159
43892.6181509924,-1009.61077880859
44081.8104706087,-1094.98882548014
44271.0027902251,-1169.44668579102
44460.1951098414,-1197.85197957357
44649.3874294578,-1182.9850769043
44838.5797490741,-1132.47491455078
45027.7720686905,-1078.30399576823
45216.9643883068,-1012.38378397624
45406.1567079232,-939.254938761393
45595.3490275395,-868.772476196289
45784.5413471559,-812.723002115885
45973.7336667722,-764.438461303711
46162.9259863886,-699.717758178711
46352.1183060049,-625.719645182292
