x,z,coordx,coordy
22818.2404090017,-1739.22141520182,667744.793253452,3135861.05600691
23018.4004125894,-1775.96503702799,667718.374608307,3136059.46488328
23218.5604161771,-1753.4237874349,667691.955963161,3136257.87375966
23418.7204197649,-1775.41021728516,667665.537318016,3136456.28263604
23618.8804233526,-1847.76396687826,667639.118672871,3136654.69151241
23819.0404269403,-1926.61457316081,667612.700027726,3136853.10038879
24019.2004305281,-1998.4228922526,667586.281382581,3137051.50926517
24219.3604341158,-2015.1020711263,667559.862737436,3137249.91814154
24419.5204377035,-1925.45916748047,667533.444092291,3137448.32701792
24619.6804412913,-1821.53872680664,667507.025447145,3137646.73589429
24819.840444879,-1755.23927815755,667480.606802,3137845.14477067
25020.0004484667,-1726.24135335286,667454.188156855,3138043.55364705
25220.1604520545,-1626.90347290039,667427.76951171,3138241.96252342
25420.3204556422,-1477.84130859375,667401.350866565,3138440.3713998
25620.4804592299,-1342.57251993815,667374.93222142,3138638.78027618
25820.6404628177,-1341.83827718099,667348.513576274,3138837.18915255
26020.8004664054,-1470.67213948568,667322.094931129,3139035.59802893
26220.9604699931,-1613.19481404622,667295.676285984,3139234.00690531
26421.1204735809,-1765.62074788411,667269.257640839,3139432.41578168
26621.2804771686,-1881.18711344401,667242.838995694,3139630.82465806
26821.4404807563,-1927.96253458659,667216.420350549,3139829.23353443
27021.6004843441,-1951.7895711263,667190.001705404,3140027.64241081
27221.7604879318,-1953.79612223307,667163.583060259,3140226.05128719
27421.9204915195,-1932.05635579427,667137.164415113,3140424.46016356
27622.0804951073,-1886.87717692057,667110.745769968,3140622.86903994
27822.240498695,-1911.68325805664,667084.327124823,3140821.27791632
28022.4005022827,-1937.97796630859,667057.908479678,3141019.68679269
28222.5605058705,-1952.33574422201,667031.489834533,3141218.09566907
28422.7205094582,-1989.35093180339,667005.071189388,3141416.50454545
28622.8805130459,-2045.08289591471,666978.652544242,3141614.91342182
28823.0405166337,-2104.49175008138,666952.233899097,3141813.3222982
29023.2005202214,-2157.17488606771,666925.815253952,3142011.73117457
29223.3605238091,-2240.53483072917,666899.396608807,3142210.14005095
29423.5205273969,-2337.48077392578,666872.977963662,3142408.54892733
29623.6805309846,-2425.92492675781,666846.559318517,3142606.9578037
29823.8405345723,-2444.50524902344,666820.140673372,3142805.36668008
30024.0005381601,-2489.27856445313,666793.722028226,3143003.77555646
30224.1605417478,-2514.55208333333,666767.303383081,3143202.18443283
30424.3205453355,-2482.3305460612,666740.884737936,3143400.59330921
30624.4805489233,-2403.97859700521,666714.466092791,3143599.00218559
30824.640552511,-2425.5171101888,666688.047447646,3143797.41106196
31024.8005560987,-2501.09755452474,666661.628802501,3143995.81993834
31224.9605596865,-2495.3046468099,666635.210157356,3144194.22881472
31425.1205632742,-2425.49013264974,666608.791512211,3144392.63769109
31625.2805668619,-2394.53399658203,666582.372867065,3144591.04656747
31825.4405704497,-2395.57818603516,666555.95422192,3144789.45544384
32025.6005740374,-2428.66512044271,666529.535576775,3144987.86432022
32225.7605776252,-2439.20080566406,666503.11693163,3145186.2731966
32425.9205812129,-2471.45617675781,666476.698286485,3145384.68207297
32626.0805848006,-2546.54618326823,666450.27964134,3145583.09094935
32826.2405883884,-2630.52838134766,666423.860996195,3145781.49982573
33026.4005919761,-2694.48111979167,666397.442351049,3145979.9087021
33226.5605955638,-2798.11517333984,666371.023705904,3146178.31757848
33426.7205991516,-2900.82336425781,666344.605060759,3146376.72645485
33626.8806027393,-2942.01792399089,666318.186415614,3146575.13533123
33827.040606327,-2933.49277750651,666291.767770469,3146773.54420761
34027.2006099148,-2967.4145711263,666265.349125324,3146971.95308398
