DBID,X,Y,PX,PY,u_loc,u_scale,u_mean,u_sd,dpl_m,z_m
4088,619421.38536778,3203244.61814575,585262.105194147,3201091.19957985,-1.08743,1.266298,0.761007,1.591418,93373.1761127386,2657.66748
4089,612982.625471763,3217574.75113701,584336.815135103,3215768.90454128,-1.194222,1.241098,0.651625,1.176073,108080.017535293,2600.072021
4090,622311.333236019,3208380.57737976,584951.052801746,3206025.36611344,-1.13397,1.243929,0.715951,1.636874,98317.1373759389,2933.674805
4091,623218.276796642,3214697.90452641,584557.971690235,3212260.73903708,-0.915128,1.286148,0.919406,1.880122,104564.888031746,2993.895752
4092,618610.07443853,3244269.5884275,582682.895814167,3242004.7206353,-2.267569,1.151929,0.202688,0.338764,134367.913899199,4620.260742
4093,623035.671873298,3249655.37955657,582362.234910736,3247091.30520111,-2.047615,1.164434,0.253056,0.424924,139464.595757048,4817.560547
4094,631025.986685367,3245982.01887638,582624.517476653,3242930.76539911,-2.092,1.172406,0.248883,0.450588,135295.796938634,4761.421875
4096,609231.070201701,3223149.13529889,583971.944051466,3221556.78701362,-0.71421,1.276873,1.134425,2.346196,113879.38943416,3113.491943
4097,594934.173869879,3215377.24918308,584403.355880708,3214713.38100856,-0.957555,1.257094,0.849563,1.698444,107022.398700858,2987.609375
4098,589804.824243907,3219200.31260706,584142.99810753,3218843.38817958,-1.052571,1.262082,0.781401,1.560882,111160.604278489,3343.18457
4099,606231.422321129,3227502.14637316,583686.740507213,3226080.91805296,-0.865204,1.260005,0.936404,1.764731,118412.501248654,2886.734619
4100,612667.400877055,3233869.56769432,583312.39992944,3232019.01335824,-0.982976,1.273632,0.848748,1.76375,124362.384165388,4228.318848
4101,609215.968948841,3236679.64161584,583122.290583417,3235034.68273031,-0.716851,1.271538,1.089167,2.058653,127384.039891157,3634.640137
4103,611131.529951809,3242508.75948227,582763.857095314,3240720.44681613,-0.8736,1.270592,0.921289,1.625144,133081.090690037,4181.000488
4104,586193.693379165,3265052.08373875,581249.626455079,3264740.40722065,-2.405382,1.121965,0.172182,0.370207,157148.7327072,4242.568848
4105,597666.925434154,3275026.86874765,580668.715332187,3273955.29285276,-2.076449,1.152634,0.242095,0.389979,166381.910651202,4617.644043
4106,580215.679883549,3265628.0550079,581189.797435933,3265689.4638787,-2.387443,1.143317,0.176496,0.279115,158099.673321391,4611.785645
4107,574960.852060387,3262800.87830633,581346.518038222,3263203.43396917,-2.493187,1.122992,0.15545,0.246548,155608.708436397,4781.302246
4108,570171.126001303,3256330.04859486,581733.868215005,3257058.96980248,-2.709416,1.100337,0.122171,0.184419,149452.046998968,5305.282715
4109,565164.126546278,3255951.34055125,581737.828079307,3256996.15520792,-2.915143,1.077757,0.096545,0.135792,149389.107712233,5232.072754
4110,558445.941477031,3267688.64834879,580974.237973946,3269108.84373019,-2.500149,1.137869,0.15743,0.259511,161525.840925353,5126.656738
4111,555854.486900998,3265584.0307876,581096.131013908,3267175.27699625,-2.516623,1.121923,0.151228,0.228982,159588.435901157,5290.787598
4112,550224.592271776,3252032.83058896,581924.738858434,3254031.22411056,-3.225216,1.04875,0.068913,0.095413,146418.29098085,5329.4375
4113,549034.882610608,3265956.65732166,581045.738876799,3267974.63814104,-3.025654,1.079977,0.086531,0.122851,160389.383844081,5630.613281
4114,542856.985726009,3257107.55911407,581576.927951451,3259548.48415801,-3.340629,1.053242,0.061493,0.085354,151946.503246873,5765.20752
